freq,phase(Zin2)
3380000000.0000000000,-87.9279422845
3385000000.0000000000,-87.9121181818
3389999999.9999995232,-87.8959900066
3395000000.0000004768,-87.8795576541
3400000000.0000000000,-87.8629957792
3405000000.0000000000,-87.8463016460
3410000000.0000000000,-87.8294724421
3415000000.0000000000,-87.8123508830
3420000000.0000004768,-87.7949427833
3425000000.0000000000,-87.7773874897
3429999999.9999995232,-87.7596818110
3435000000.0000000000,-87.7418224638
3440000000.0000000000,-87.7235458810
3445000000.0000004768,-87.7048735504
3450000000.0000000000,-87.6860311605
3454999999.9999995232,-87.6670149219
3460000000.0000000000,-87.6478209321
3465000000.0000000000,-87.6282618080
3470000000.0000000000,-87.6083585520
3475000000.0000000000,-87.5882614770
3479999999.9999995232,-87.5679661380
3485000000.0000004768,-87.5474679534
3490000000.0000000000,-87.5265671660
3495000000.0000000000,-87.5052931365
3500000000.0000000000,-87.4837978720
3505000000.0000000000,-87.4620761441
3510000000.0000000000,-87.4401225589
3514999999.9999995232,-87.4176625833
3520000000.0000004768,-87.3947469730
3525000000.0000000000,-87.3715765961
3530000000.0000000000,-87.3481452387
3535000000.0000000000,-87.3244464837
3540000000.0000000000,-87.3002429724
3545000000.0000004768,-87.2755846715
3550000000.0000000000,-87.2506340881
3554999999.9999995232,-87.2253838541
3560000000.0000000000,-87.1998263521
3565000000.0000000000,-87.1737588105
3570000000.0000004768,-87.1472280328
3575000000.0000000000,-87.1203625367
3579999999.9999995232,-87.0931535861
3585000000.0000000000,-87.0655921386
3590000000.0000000000,-87.0373418074
3595000000.0000000000,-87.0084942827
3600000000.0000000000,-86.9792585017
3604999999.9999995232,-86.9496239579
3610000000.0000004768,-86.9195797630
3615000000.0000000000,-86.8888830979
3620000000.0000000000,-86.8576022948
3625000000.0000000000,-86.8258733238
3630000000.0000000000,-86.7936835845
3635000000.0000000000,-86.7610200002
3639999999.9999995232,-86.7276207613
3645000000.0000004768,-86.6935650253
3650000000.0000000000,-86.6589896310
3655000000.0000000000,-86.6238793692
3660000000.0000000000,-86.5882184320
3665000000.0000000000,-86.5516583318
3670000000.0000004768,-86.5143154269
3675000000.0000000000,-86.4763648750
3679999999.9999995232,-86.4377881289
3685000000.0000000000,-86.3985658801
3690000000.0000000000,-86.3583958986
3695000000.0000004768,-86.3173795941
3700000000.0000000000,-86.2756514638
3704999999.9999995232,-86.2331887957
3710000000.0000000000,-86.1899679029
3715000000.0000000000,-86.1455603758
3720000000.0000000000,-86.1001246516
